[1434565800] LOG ROTATION: DAILY
[1434565800] LOG VERSION: 2.0
[1434586091] SERVICE NOTIFICATION: piyush;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434586091] SERVICE NOTIFICATION: bhupesh;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434586091] SERVICE NOTIFICATION: mali;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434586091] SERVICE NOTIFICATION: msharma;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434586598] SERVICE ALERT: ns3.tld6.net;RAM;WARNING;HARD;3;WARNING - 10.8% (429344 kB) free!
[1434586598] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 10.8% (429344 kB) free!
[1434586598] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 10.8% (429344 kB) free!
[1434586598] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 10.8% (429344 kB) free!
[1434586598] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 10.8% (429344 kB) free!
[1434586598] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 10.8% (429344 kB) free!
[1434587798] SERVICE ALERT: ns3.tld6.net;RAM;CRITICAL;HARD;3;CRITICAL - 9.4% (373192 kB) free!
[1434587798] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 9.4% (373192 kB) free!
[1434587798] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 9.4% (373192 kB) free!
[1434587798] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 9.4% (373192 kB) free!
[1434587798] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 9.4% (373192 kB) free!
[1434587798] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 9.4% (373192 kB) free!
[1434588605] Auto-save of retention data completed successfully.
[1434589691] SERVICE NOTIFICATION: nagiosadmin;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434589691] SERVICE NOTIFICATION: piyush;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434589691] SERVICE NOTIFICATION: bhupesh;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434589691] SERVICE NOTIFICATION: mali;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434589691] SERVICE NOTIFICATION: msharma;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434591398] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 5.2% (205076 kB) free!
[1434591398] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 5.2% (205076 kB) free!
[1434591398] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 5.2% (205076 kB) free!
[1434591398] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 5.2% (205076 kB) free!
[1434591398] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 5.2% (205076 kB) free!
[1434592205] Auto-save of retention data completed successfully.
[1434593291] SERVICE NOTIFICATION: nagiosadmin;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434593291] SERVICE NOTIFICATION: piyush;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434593291] SERVICE NOTIFICATION: bhupesh;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434593291] SERVICE NOTIFICATION: mali;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434593291] SERVICE NOTIFICATION: msharma;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434594998] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.1% (319892 kB) free!
[1434594998] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.1% (319892 kB) free!
[1434594998] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.1% (319892 kB) free!
[1434594998] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.1% (319892 kB) free!
[1434594998] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.1% (319892 kB) free!
[1434595805] Auto-save of retention data completed successfully.
[1434596891] SERVICE NOTIFICATION: nagiosadmin;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434596891] SERVICE NOTIFICATION: piyush;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434596891] SERVICE NOTIFICATION: bhupesh;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434596891] SERVICE NOTIFICATION: mali;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434596891] SERVICE NOTIFICATION: msharma;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434598598] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.3% (249068 kB) free!
[1434598598] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.3% (249068 kB) free!
[1434598598] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.3% (249068 kB) free!
[1434598598] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.3% (249068 kB) free!
[1434598598] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.3% (249068 kB) free!
[1434599405] Auto-save of retention data completed successfully.
[1434600790] SERVICE NOTIFICATION: nagiosadmin;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434600790] SERVICE NOTIFICATION: piyush;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434600790] SERVICE NOTIFICATION: bhupesh;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434600790] SERVICE NOTIFICATION: mali;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434600790] SERVICE NOTIFICATION: msharma;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434602198] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.8% (112308 kB) free!
[1434602198] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.8% (112308 kB) free!
[1434602198] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.8% (112308 kB) free!
[1434602198] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.8% (112308 kB) free!
[1434602198] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.8% (112308 kB) free!
[1434603005] Auto-save of retention data completed successfully.
[1434604390] SERVICE NOTIFICATION: nagiosadmin;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434604390] SERVICE NOTIFICATION: piyush;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434604390] SERVICE NOTIFICATION: bhupesh;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434604390] SERVICE NOTIFICATION: mali;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434604390] SERVICE NOTIFICATION: msharma;localhost;HTTP;CRITICAL;notify-service-by-email;connect to address 127.0.0.1 and port 80: Connection refused
[1434605798] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 3.4% (135040 kB) free!
